pref_label,uri,notation,description,alt_labels,in_schemes,broader,narrower
Managerial aspects concerning information security,http://data.jrc.ec.europa.eu/ontology/cybersecurity/information-security_managerial_aspects,information-security_managerial_aspects,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_management_governance,
"Managerial, procedural and technical aspects of network security",http://data.jrc.ec.europa.eu/ontology/cybersecurity/network-security_managerial_procedural_technical_aspects,network-security_managerial_procedural_technical_aspects,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_distributed_systems,
Manufacturing and supply chain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/manufacturing_supply_chain,manufacturing_supply_chain,"Includes a vast range of supply chain activities and production techniques, from small-scale enterprises using traditional production techniques, to very large enterprises sitting atop a high and broad pyramid of parts and components suppliers collectively manufacturing complex products  (e.g. system or product integration).",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/sector,,
Mathematical foundations of cryptography,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cryptography_mathematical_foundations,cryptography_mathematical_foundations,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cryptology,
Measurement and assessment of security levels,http://data.jrc.ec.europa.eu/ontology/cybersecurity/measurement_assessment_seecurity_levels,measurement_assessment_seecurity_levels,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_measurements,
Message authentication,http://data.jrc.ec.europa.eu/ontology/cybersecurity/message_authentication,message_authentication,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cryptology,
Mobile devices,http://data.jrc.ec.europa.eu/ontology/cybersecurity/mobile_devices,mobile_devices,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/technology,,
Model-driven security and domain-specific modelling languages,http://data.jrc.ec.europa.eu/ontology/cybersecurity/model-driven_security_domain-specific_modelling_languages,model-driven_security_domain-specific_modelling_languages,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
Modelling of cross-sectoral interdependencies and cascading effects,http://data.jrc.ec.europa.eu/ontology/cybersecurity/modelling_cross-sectoral_interdependencies_cascading,modelling_cross-sectoral_interdependencies_cascading,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_management_governance,
Network and Distributed Systems,http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_distributed_systems,network_distributed_systems,"Network security is concerned with hardware, software, basic communication protocols, network frame structure, and communication mechanisms factors of the network. Information Security in the network context deals with data integrity, confidentiality, availability and non-repudiation while is sent across the network. A distributed system is a model in which components located on networked computers communicate and coordinate their actions by passing messages. In this context cybersecurity deals with all the aspects of computation, coordination, message integrity, availability and (if required) confidentiality. Message authentication is also in the scope.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/distributed_consensus_techniques; http://data.jrc.ec.europa.eu/ontology/cybersecurity/distributed_systems_security; http://data.jrc.ec.europa.eu/ontology/cybersecurity/distributed_systems_security_analysis_simulation; http://data.jrc.ec.europa.eu/ontology/cybersecurity/fault_tolerant_models; http://data.jrc.ec.europa.eu/ontology/cybersecurity/network-security_managerial_procedural_technical_aspects; http://data.jrc.ec.europa.eu/ontology/cybersecurity/network-security_principles_methods_protocols_algorithms_technologies; http://data.jrc.ec.europa.eu/ontology/cybersecurity/network-security_requirements; http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_attack_propagation_analysis; http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_interoperability; http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_layer_attacks_mitigation_techniques; http://data.jrc.ec.europa.eu/ontology/cybersecurity/network_steganography; http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy-friendly_communication_architectures_services; http://data.jrc.ec.europa.eu/ontology/cybersecurity/protocols_frameworks_secure_distributed_computing; http://data.jrc.ec.europa.eu/ontology/cybersecurity/secure_distributed_computations; http://data.jrc.ec.europa.eu/ontology/cybersecurity/secure_system_interconnection
